Date,Log Sales,T,Season,,,
Jan-95,7.417466282,1,January,,,
Feb-95,7.78219432,2,February,,,
Mar-95,7.9518093,3,March,,,
Apr-95,8.173939211,4,April,,,
May-95,8.230300141,5,May,,,
Jun-95,8.220063968,6,June,,,
Jul-95,8.377841465,7,July,,,
Aug-95,8.179295139,8,August,,,
Sep-95,8.521547697,9,September,,,
Oct-95,8.767715306,10,October,,,
Nov-95,8.935982471,11,November,,,
Dec-95,9.891223151,12,December,,,
Jan-96,7.823970008,13,January,,,
Feb-96,8.556075386,14,February,,,
Mar-96,8.88532189,15,March,,,
Apr-96,8.477626658,16,April,,,
May-96,8.682856771,17,May,,,
Jun-96,8.507413526,18,June,,,
Jul-96,8.728931145,19,July,,,
Aug-96,8.466352426,20,August,,,
Sep-96,8.61185407,21,September,,,
Oct-96,8.671646683,22,October,,,
Nov-96,9.441458442,23,November,,,
Dec-96,10.25912216,24,December,,,
Jan-97,8.458932523,25,January,,,
Feb-97,8.648682751,26,February,,,
Mar-97,9.206089349,27,March,,,
Apr-97,8.57636358,28,April,,,
May-97,8.778392162,29,May,,,
Jun-97,8.79948074,30,June,,,
Jul-97,8.90240389,31,July,,,
Aug-97,9.009034141,32,August,,,
Sep-97,9.056392838,33,September,,,
Oct-97,9.178901303,34,October,,,
Nov-97,9.625877256,35,November,,,
Dec-97,10.43590861,36,December,,,
Jan-98,8.686277521,37,January,,,
Feb-98,8.668123835,38,February,,,
Mar-98,9.427163995,39,March,,,
Apr-98,8.759318641,40,April,,,
May-98,8.937102807,41,May,,,
Jun-98,8.88526791,42,June,,,
Jul-98,9.002235668,43,July,,,
Aug-98,8.984599701,44,August,,,
Sep-98,8.998762183,45,September,,,
Oct-98,9.045076502,46,October,,,
Nov-98,9.793374651,47,November,,,
Dec-98,10.31275907,48,December,,,
Jan-99,8.481905852,49,January,,,
Feb-99,8.774966936,50,February,,,
Mar-99,9.173548786,51,March,,,
Apr-99,9.084909793,52,April,,,
May-99,9.073646269,53,May,,,
Jun-99,9.231071979,54,June,,,
Jul-99,9.330480627,55,July,,,
Aug-99,9.437652821,56,August,,,
Sep-99,9.361978469,57,September,,,
Oct-99,9.518331561,58,October,,,
Nov-99,9.990678955,59,November,,,
Dec-99,10.71576553,60,December,,,
Jan-00,8.937879205,61,January,,,
Feb-00,9.195195262,62,February,,,
Mar-00,9.585923426,63,March,,,
Apr-00,9.357667539,64,April,,,
May-00,9.14126464,65,May,,,
Jun-00,9.478999398,66,June,,,67452.546
Jul-00,9.725124949,67,July,,,
Aug-00,9.897902485,68,August,,,
Sep-00,10.08302942,69,September,,,
Oct-00,10.14216384,70,October,,,
Nov-00,10.49196287,71,November,,,
Dec-00,11.29876284,72,December,,,
1-Jan,9.234373255,73,January,,,
1-Feb,9.329622728,74,February,,,
1-Mar,9.990895684,75,March,,,
1-Apr,9.761770175,76,April,,,
1-May,9.680205867,77,May,,,
1-Jun,9.830999114,78,June,,,
1-Jul,10.17180139,79,July,,,
1-Aug,10.26069056,80,August,,,
1-Sep,10.32565932,81,September,,,
1-Oct,10.33596226,82,October,,,
1-Nov,10.75009332,83,November,,,
1-Dec,11.55847868,84,December,,,
