Date,Sales,T,Season
Jan-95,1664.81,1,January
Feb-95,2397.53,2,February
Mar-95,2840.71,3,March
Apr-95,3547.29,4,April
May-95,3752.96,5,May
Jun-95,3714.74,6,June
Jul-95,4349.61,7,July
Aug-95,3566.34,8,August
Sep-95,5021.82,9,September
Oct-95,6423.48,10,October
Nov-95,7600.6,11,November
Dec-95,19756.21,12,December
Jan-96,2499.81,13,January
Feb-96,5198.24,14,February
Mar-96,7225.14,15,March
Apr-96,4806.03,16,April
May-96,5900.88,17,May
Jun-96,4951.34,18,June
Jul-96,6179.12,19,July
Aug-96,4752.15,20,August
Sep-96,5496.43,21,September
Oct-96,5835.1,22,October
Nov-96,12600.08,23,November
Dec-96,28541.72,24,December
Jan-97,4717.02,25,January
Feb-97,5702.63,26,February
Mar-97,9957.58,27,March
Apr-97,5304.78,28,April
May-97,6492.43,29,May
Jun-97,6630.8,30,June
Jul-97,7349.62,31,July
Aug-97,8176.62,32,August
Sep-97,8573.17,33,September
Oct-97,9690.5,34,October
Nov-97,15151.84,35,November
Dec-97,34061.01,36,December
Jan-98,5921.1,37,January
Feb-98,5814.58,38,February
Mar-98,12421.25,39,March
Apr-98,6369.77,40,April
May-98,7609.12,41,May
Jun-98,7224.75,42,June
Jul-98,8121.22,43,July
Aug-98,7979.25,44,August
Sep-98,8093.06,45,September
Oct-98,8476.7,46,October
Nov-98,17914.66,47,November
Dec-98,30114.41,48,December
Jan-99,4826.64,49,January
Feb-99,6470.23,50,February
Mar-99,9638.77,51,March
Apr-99,8821.17,52,April
May-99,8722.37,53,May
Jun-99,10209.48,54,June
Jul-99,11276.55,55,July
Aug-99,12552.22,56,August
Sep-99,11637.39,57,September
Oct-99,13606.89,58,October
Nov-99,21822.11,59,November
Dec-99,45060.69,60,December
Jan-00,7615.03,61,January
Feb-00,9849.69,62,February
Mar-00,14558.4,63,March
Apr-00,11587.33,64,April
May-00,9332.56,65,May
Jun-00,13082.09,66,June
Jul-00,16732.78,67,July
Aug-00,19888.61,68,August
Sep-00,23933.38,69,September
Oct-00,25391.35,70,October
Nov-00,36024.8,71,November
Dec-00,80721.71,72,December
Jan-01,10243.24,73,January
Feb-01,11266.88,74,February
Mar-01,21826.84,75,March
Apr-01,17357.33,76,April
May-01,15997.79,77,May
Jun-01,18601.53,78,June
Jul-01,26155.15,79,July
Aug-01,28586.52,80,August
Sep-01,30505.41,81,September
Oct-01,30821.33,82,October
Nov-01,46634.38,83,November
Dec-01,104660.67,84,December
