Month,Ridership,Amtrak Ridership Number of Passengers ( in thousands)
Ene-91,1709,
Feb-91,1621,
Mar-91,1973,
Abr-91,1812,
May-91,1975,
Jun-91,1862,
Jul-91,1940,
Ago-91,2013,
Sept-91,1596,
Oct-91,1725,
Nov-91,1676,
Dic-91,1814,
Ene-92,1615,
Feb-92,1557,
Mar-92,1891,
Abr-92,1956,
May-92,1885,
Jun-92,1623,
Jul-92,1903,
Ago-92,1997,
Sept-92,1704,
Oct-92,1810,
Nov-92,1862,
Dic-92,1875,
Ene-93,1705,
Feb-93,1619,
Mar-93,1837,
Abr-93,1957,
May-93,1917,
Jun-93,1882,
Jul-93,1933,
Ago-93,1996,
Sept-93,1673,
Oct-93,1753,
Nov-93,1720,
Dic-93,1734,
Ene-94,1563,
Feb-94,1574,
Mar-94,1903,
Abr-94,1834,
May-94,1831,
Jun-94,1776,
Jul-94,1868,
Ago-94,1907,
Sept-94,1686,
Oct-94,1779,
Nov-94,1776,
Dic-94,1783,
Ene-95,1548,
Feb-95,1497,
Mar-95,1798,
Abr-95,1733,
May-95,1772,
Jun-95,1761,
Jul-95,1792,
Ago-95,1875,
Sept-95,1571,
Oct-95,1647,
Nov-95,1673,
Dic-95,1657,
Ene-96,1382,
Feb-96,1361,
Mar-96,1559,
Abr-96,1608,
May-96,1697,
Jun-96,1693,
Jul-96,1836,
Ago-96,1943,
Sept-96,1551,
Oct-96,1687,
Nov-96,1576,
Dic-96,1700,
Ene-97,1397,
Feb-97,1372,
Mar-97,1708,
Abr-97,1655,
May-97,1763,
Jun-97,1776,
Jul-97,1934,
Ago-97,2008,
Sept-97,1616,
Oct-97,1774,
Nov-97,1732,
Dic-97,1797,
Ene-98,1570,
Feb-98,1413,
Mar-98,1755,
Abr-98,1825,
May-98,1843,
Jun-98,1826,
Jul-98,1968,
Ago-98,1922,
Sept-98,1670,
Oct-98,1791,
Nov-98,1817,
Dic-98,1847,
Ene-99,1599,
Feb-99,1549,
Mar-99,1832,
Abr-99,1840,
May-99,1846,
Jun-99,1865,
Jul-99,1966,
Ago-99,1949,
Sept-99,1607,
Oct-99,1804,
Nov-99,1850,
Dic-99,1836,
Ene-00,1542,
Feb-00,1617,
Mar-00,1920,
Abr-00,1971,
May-00,1992,
Jun-00,2010,
Jul-00,2054,
Ago-00,2097,
Sept-00,1824,
Oct-00,1977,
Nov-00,1981,
Dic-00,2000,
Ene-01,1683,
Feb-01,1663,
Mar-01,2008,
Abr-01,2024,
May-01,2047,
Jun-01,2073,
Jul-01,2127,
Ago-01,2203,
Sept-01,1708,
Oct-01,1951,
Nov-01,1974,
Dic-01,1985,
Ene-02,1760,
Feb-02,1771,
Mar-02,2020,
Abr-02,2048,
May-02,2069,
Jun-02,1994,
Jul-02,2075,
Ago-02,2027,
Sept-02,1734,
Oct-02,1917,
Nov-02,1858,
Dic-02,1996,
Ene-03,1778,
Feb-03,1749,
Mar-03,2066,
Abr-03,2099,
May-03,2105,
Jun-03,2130,
Jul-03,2223,
Ago-03,2174,
Sept-03,1931,
Oct-03,2121,
Nov-03,2076,
Dic-03,2141,
Ene-04,1832,
Feb-04,1838,
Mar-04,2132,
